Node	feature
B_Nakamurella	genus
B_Erwinia	genus
B_Gluconobacter	genus
B_Myxococcus	genus
F_Amoeboradix	genus
F_Heterodermia	genus
F_Dichomitus	genus
B_Pseudarcicella	genus
B_Sporosarcina	genus
B_Atopobium	genus
F_Cortinarius	genus
B_Pantoea	genus
F_Starmerella	genus
B_Serinicoccus	genus
B_Anaeromyxobacter	genus
B_Plantactinospora	genus
F_Massarina	genus
F_Neoroussoella	genus
F_Appendiculella	genus
F_Xylochrysis	genus
F_Peniophorella	genus
B_Cellulomonas	genus
F_Saxomyces	genus
B_Frankia	genus
B_Mesorhizobium	genus
B_Candidatus Phytoplasma	genus
F_Collemopsidium	genus
F_Aureobasidium	genus
F_Phoma	genus
F_Sclerotinia	genus
F_Parafuscosporella	genus
F_Pochonia	genus
F_Corollospora	genus
F_Laxitextum	genus
F_Lipomyces	genus
F_Sporothrix	genus
F_Erynia	genus
B_Cloacibacterium	genus
B_Cardiobacterium	genus
F_Thermomyces	genus
F_Schizosaccharomyces	genus
B_Citricoccus	genus
F_Coprinus	genus
F_Bullera	genus
B_Clostridioides	genus
F_Mycosphaerella	genus
F_Terfezia	genus
B_Scytonema	genus
B_Truepera	genus
B_Blattabacterium	genus
B_Chromohalobacter	genus
F_Esteya	genus
B_Azoarcus	genus
B_Citrobacter	genus
B_Streptomonospora	genus
F_Gomphillus	genus
F_Ceraceomyces	genus
B_Pseudanabaena	genus
F_Postia	genus
F_Sparassis	genus
B_Sulfitobacter	genus
F_Ambispora	genus
B_Thermus	genus
F_Torula	genus
F_Auricularia	genus
B_Tessaracoccus	genus
F_Meyerozyma	genus
F_Psiloglonium	genus
F_Pyricularia	genus
F_Clitocybe	genus
F_Melampsora	genus
B_Salinicoccus	genus
F_Ochroconis	genus
B_Halobacillus	genus
F_Articulospora	genus
F_Orbilia	genus
B_Coxiella	genus
F_Bulleribasidium	genus
B_Nodularia	genus
B_Pedobacter	genus
F_Amorphotheca	genus
B_Candidatus Portiera	genus
F_Penicilliopsis	genus
F_Velutarina	genus
F_Kallichroma	genus
F_Raffaelea	genus
B_Aureimonas	genus
B_Polaromonas	genus
F_Cystoderma	genus
B_Thiomonas	genus
F_Spiromyces	genus
B_Legionella	genus
B_Bordetella	genus
B_Methylophaga	genus
F_Thermothielavioides	genus
F_Magnusiomyces	genus
B_Vogesella	genus
B_Ectothiorhodospira	genus
F_Zymoseptoria	genus
F_Diplodia	genus
F_Dothistroma	genus
B_Brochothrix	genus
B_Paenibacillus	genus
