Node	feature
F_Rhodotorula	genus
B_Sinomonas	genus
B_Beutenbergia	genus
F_Acanthothecis	genus
B_Phyllobacterium	genus
F_Fuscidea	genus
F_Ugola	genus
B_Spirosoma	genus
F_Tretomyces	genus
B_Achromobacter	genus
B_Bartonella	genus
F_Pseudogymnoascus	genus
F_Perenniporia	genus
B_Rhodoplanes	genus
B_Anoxybacillus	genus
B_Brenneria	genus
F_Pithomyces	genus
F_Massarina	genus
F_Funneliformis	genus
B_Draconibacterium	genus
F_Ocellularia	genus
B_Anaeromyxobacter	genus
B_Pelagibacterium	genus
B_Congregibacter	genus
F_Heterogastridium	genus
B_Negativicoccus	genus
B_Variovorax	genus
B_Limnochorda	genus
F_Chionosphaera	genus
F_Gigaspora	genus
F_Grosmannia	genus
F_Amanita	genus
F_Reniforma	genus
F_Spizellomyces	genus
F_Meyerozyma	genus
B_Atopobium	genus
B_Leptothrix	genus
B_Prochlorococcus	genus
B_Helicobacter	genus
F_Histoplasma	genus
B_Leclercia	genus
F_Orphella	genus
F_Coniosporium	genus
F_Fonsecaea	genus
F_Physcia	genus
F_Rhexocercosporidium	genus
F_Marthamyces	genus
F_Pichia	genus
F_Verticillium	genus
F_Glomus	genus
B_Flavisolibacter	genus
B_Clavibacter	genus
B_Friedmanniella	genus
B_Photobacterium	genus
B_Rhodospirillum	genus
F_Parmotrema	genus
F_Komagataella	genus
F_Infundibura	genus
B_Minicystis	genus
B_Bacteriovorax	genus
F_Aureobasidium	genus
F_Torula	genus
F_Serpula	genus
F_Naumovozyma	genus
F_Rhynchosporium	genus
F_Leucogyrophana	genus
F_Mycosphaerella	genus
F_Ogataea	genus
B_Oceanobacillus	genus
F_Serenomyces	genus
F_Entoloma	genus
F_Melanoleuca	genus
F_Taiwanofungus	genus
F_Mucomycosphaerella	genus
F_Sarcodon	genus
F_Rhizophydium	genus
F_Tuber	genus
F_Uncinocarpus	genus
F_Postia	genus
B_Polaromonas	genus
B_Paucibacter	genus
F_Rinodina	genus
F_Phaeoacremonium	genus
B_Sandaracinus	genus
F_Polycephalomyces	genus
F_Hygrocybe	genus
F_Schizosaccharomyces	genus
F_Zymoseptoria	genus
F_Kurtia	genus
F_Cryptocoryneum	genus
B_Mycoplasma	genus
F_Tetrapisispora	genus
B_Nitratireductor	genus
F_Ascodesmis	genus
F_Termitomyces	genus
F_Ceraceomyces	genus
F_Circinella	genus
B_Lachnoclostridium	genus
B_Neomicrococcus	genus
F_Evernia	genus
B_Cupriavidus	genus
F_Botrytis	genus
B_Aminipila	genus
F_Sphaerulina	genus
F_Pestalotiopsis	genus
F_Nakaseomyces	genus
F_Meira	genus
