id,feature
B_Sulfitobacter,bacteria
B_Streptosporangium,bacteria
B_Streptomyces,bacteria
B_Streptomonospora,bacteria
B_Streptococcus,bacteria
B_Stenotrophomonas,bacteria
B_Staphylococcus,bacteria
B_Sporosarcina,bacteria
B_Spiroplasma,bacteria
B_Spirochaeta,bacteria
B_Sphingosinicella,bacteria
B_Sphingopyxis,bacteria
B_Sphingomonas,bacteria
B_Sphingobium,bacteria
B_Sphaerotilus,bacteria
B_Sorangium,bacteria
B_Solimonas,bacteria
B_Sinorhizobium,bacteria
B_Shewanella,bacteria
B_Serratia,bacteria
B_Serinicoccus,bacteria
B_Selenomonas,bacteria
B_Scytonema,bacteria
B_Schaalia,bacteria
B_Salmonella,bacteria
B_Salinicoccus,bacteria
B_Saccharospirillum,bacteria
B_Saccharopolyspora,bacteria
B_Ruthenibacterium,bacteria
B_Runella,bacteria
B_Ruminococcus,bacteria
B_Rubrobacter,bacteria
B_Rubrivivax,bacteria
B_Rothia,bacteria
B_Roseomonas,bacteria
B_Roseburia,bacteria
B_Romboutsia,bacteria
B_Riemerella,bacteria
B_Rickettsia,bacteria
B_Rhodovulum,bacteria
B_Rhodopseudomonas,bacteria
B_Rhodoplanes,bacteria
B_Rhodococcus,bacteria
B_Rhodobacter,bacteria
B_Rhodobaca,bacteria
B_Rhodanobacter,bacteria
B_Rhizobium,bacteria
B_Rheinheimera,bacteria
B_Rathayibacter,bacteria
B_Ralstonia,bacteria
B_Psychrobacter,bacteria
B_Pseudoxanthomonas,bacteria
B_Pseudopropionibacterium,bacteria
B_Pseudonocardia,bacteria
B_Pseudomonas,bacteria
B_Pseudarcicella,bacteria
B_Pseudanabaena,bacteria
B_Pseudaminobacter,bacteria
B_Providencia,bacteria
B_Proteus,bacteria
B_Propionibacterium,bacteria
B_Prochlorococcus,bacteria
B_Prevotella,bacteria
B_Porphyromonas,bacteria
B_Porphyrobacter,bacteria
B_Polynucleobacter,bacteria
B_Polaromonas,bacteria
B_Plantactinospora,bacteria
B_Planococcus,bacteria
B_Pigmentiphaga,bacteria
B_Phycicoccus,bacteria
B_Photobacterium,bacteria
B_Phenylobacterium,bacteria
B_Peptoniphilus,bacteria
B_Pedobacter,bacteria
B_Pectobacterium,bacteria
B_Paucibacter,bacteria
B_Pasteurella,bacteria
B_Parvimonas,bacteria
B_Paracoccus,bacteria
B_Paraburkholderia,bacteria
B_Parabacteroides,bacteria
B_Pantoea,bacteria
B_Pajaroellobacter,bacteria
B_Paenibacillus,bacteria
B_Paenarthrobacter,bacteria
B_Ottowia,bacteria
B_Ornithinimicrobium,bacteria
B_Olsenella,bacteria
B_Oligotropha,bacteria
B_Oerskovia,bacteria
B_Ochrobactrum,bacteria
B_Novosphingobium,bacteria
B_Nonlabens,bacteria
B_Nodularia,bacteria
B_Nocardioides,bacteria
B_Nocardia,bacteria
B_Nitrospira,bacteria
B_Nitrosomonas,bacteria
B_Nitrobacter,bacteria
B_Nitratireductor,bacteria
B_Nesterenkonia,bacteria
B_Neorhizobium,bacteria
B_Neisseria,bacteria
B_Negativicoccus,bacteria
B_Nakamurella,bacteria
B_Myxococcus,bacteria
B_Mycolicibacterium,bacteria
B_Mycolicibacter,bacteria
B_Mycobacterium,bacteria
B_Muribaculum,bacteria
B_Morganella,bacteria
B_Moraxella,bacteria
B_Modestobacter,bacteria
B_Mitsuaria,bacteria
B_Minicystis,bacteria
B_Microvirga,bacteria
B_Micropruina,bacteria
B_Micromonospora,bacteria
B_Microlunatus,bacteria
B_Microcystis,bacteria
B_Microcoleus,bacteria
B_Micrococcus,bacteria
B_Microbacterium,bacteria
B_Methylosinus,bacteria
B_Methylophaga,bacteria
B_Methylobacterium,bacteria
B_Mesorhizobium,bacteria
B_Megasphaera,bacteria
B_Megamonas,bacteria
B_Massilia,bacteria
B_Martelella,bacteria
B_Marmoricola,bacteria
B_Marinobacter,bacteria
B_Magnetospirillum,bacteria
B_Lysinibacillus,bacteria
B_Luteimonas,bacteria
B_Luteibacter,bacteria
B_Limnohabitans,bacteria
B_Liberibacter,bacteria
B_Leuconostoc,bacteria
B_Leucobacter,bacteria
B_Leptotrichia,bacteria
B_Leptothrix,bacteria
B_Leptolyngbya,bacteria
B_Legionella,bacteria
B_Lawsonella,bacteria
B_Lautropia,bacteria
B_Lactococcus,bacteria
B_Lactobacillus,bacteria
B_Lachnoclostridium,bacteria
B_Lachnoanaerobaculum,bacteria
B_Labrys,bacteria
B_Labilithrix,bacteria
B_Kytococcus,bacteria
B_Kushneria,bacteria
B_Kurthia,bacteria
B_Kribbella,bacteria
B_Kosakonia,bacteria
B_Kordiimonas,bacteria
B_Kordia,bacteria
B_Kocuria,bacteria
B_Klebsiella,bacteria
B_Kitasatospora,bacteria
B_Janibacter,bacteria
B_Ilumatobacter,bacteria
B_Hyphomonas,bacteria
B_Hydrogenophaga,bacteria
B_Hydrogenobaculum,bacteria
B_Hungatella,bacteria
B_Herbaspirillum,bacteria
B_Helicobacter,bacteria
B_Halomonas,bacteria
B_Halobacillus,bacteria
B_Haemophilus,bacteria
B_Haematobacter,bacteria
B_Gramella,bacteria
B_Gordonia,bacteria
B_Glutamicibacter,bacteria
B_Gluconobacter,bacteria
B_Georgenia,bacteria
B_Geobacter,bacteria
B_Geobacillus,bacteria
B_Gemmata,bacteria
B_Geminobacterium,bacteria
B_Gemella,bacteria
B_Gardnerella,bacteria
B_Fusobacterium,bacteria
B_Frankia,bacteria
B_Flintibacter,bacteria
B_Flavobacterium,bacteria
B_Flavisolibacter,bacteria
B_Finegoldia,bacteria
B_Faecalitalea,bacteria
B_Faecalibacterium,bacteria
B_Ezakiella,bacteria
B_Exiguobacterium,bacteria
B_Eubacterium,bacteria
B_Escherichia,bacteria
B_Erysipelothrix,bacteria
B_Erwinia,bacteria
B_Enterococcus,bacteria
B_Enterobacter,bacteria
B_Emticicia,bacteria
B_Elizabethkingia,bacteria
B_Eikenella,bacteria
B_Ectothiorhodospira,bacteria
B_Echinicola,bacteria
B_Dyadobacter,bacteria
B_Dolosigranulum,bacteria
B_Dietzia,bacteria
B_Dickeya,bacteria
B_Dialister,bacteria
B_Devosia,bacteria
B_Desulfovibrio,bacteria
B_Desulfobacterium,bacteria
B_Dermacoccus,bacteria
B_Delftia,bacteria
B_Deinococcus,bacteria
B_Cutibacterium,bacteria
B_Cupriavidus,bacteria
B_Coxiella,bacteria
B_Corynebacterium,bacteria
B_Coprococcus,bacteria
B_Comamonas,bacteria
B_Collinsella,bacteria
B_Cohnella,bacteria
B_Clostridium,bacteria
B_Clostridioides,bacteria
B_Cloacibacterium,bacteria
B_Citrobacter,bacteria
B_Citricoccus,bacteria
B_Chryseobacterium,bacteria
B_Chroococcidiopsis,bacteria
B_Chromohalobacter,bacteria
B_Chlorobaculum,bacteria
B_Cellvibrio,bacteria
B_Cellulomonas,bacteria
B_Caulobacter,bacteria
B_Castellaniella,bacteria
B_Carnobacterium,bacteria
B_Cardiobacterium,bacteria
B_Capnocytophaga,bacteria
B_Candidatus Tremblaya,bacteria
B_Candidatus Sulcia,bacteria
B_Candidatus Saccharimonas,bacteria
B_Candidatus Portiera,bacteria
B_Candidatus Planktophila,bacteria
B_Candidatus Phytoplasma,bacteria
B_Candidatus Nanopelagicus,bacteria
B_Candidatus Hodgkinia,bacteria
B_Campylobacter,bacteria
B_Calothrix,bacteria
B_Butyrivibrio,bacteria
B_Burkholderia,bacteria
B_Buchnera,bacteria
B_Brochothrix,bacteria
B_Brevundimonas,bacteria
B_Brevibacterium,bacteria
B_Bradyrhizobium,bacteria
B_Brachybacterium,bacteria
B_Bosea,bacteria
B_Bordetella,bacteria
B_Blautia,bacteria
B_Blattabacterium,bacteria
B_Bifidobacterium,bacteria
B_Beutenbergia,bacteria
B_Bdellovibrio,bacteria
B_Bacteroides,bacteria
B_Bacillus,bacteria
B_Azotobacter,bacteria
B_Azospirillum,bacteria
B_Azoarcus,bacteria
B_Auritidibacter,bacteria
B_Auricoccus,bacteria
B_Aureimonas,bacteria
B_Atopobium,bacteria
B_Asticcacaulis,bacteria
B_Arthrobacter,bacteria
B_Arsenophonus,bacteria
B_Arsenicicoccus,bacteria
B_Arcobacter,bacteria
B_Arachidicoccus,bacteria
B_Aquabacterium,bacteria
B_Anaerotignum,bacteria
B_Anaerostipes,bacteria
B_Anaeromyxobacter,bacteria
B_Anaerococcus,bacteria
B_Anaerobutyricum,bacteria
B_Amycolatopsis,bacteria
B_Altererythrobacter,bacteria
B_Alistipes,bacteria
B_Aliivibrio,bacteria
B_Alcanivorax,bacteria
B_Agrobacterium,bacteria
B_Aggregatibacter,bacteria
B_Afipia,bacteria
B_Aeromicrobium,bacteria
B_Aerococcus,bacteria
B_Aeribacillus,bacteria
B_Actinosynnema,bacteria
B_Actinoplanes,bacteria
B_Actinomyces,bacteria
B_Actinomadura,bacteria
B_Acinetobacter,bacteria
B_Acidovorax,bacteria
B_Acidobacterium,bacteria
B_Acidithiobacillus,bacteria
B_Acidipropionibacterium,bacteria
B_Acetobacter,bacteria
A_Thermococcus,Archaea
A_Methanosarcina,Archaea
A_Archaeoglobus,Archaea
