id,feature
F_Platythecium,fungi
F_Placopyrenium,fungi
F_Placocarpus,fungi
F_Placidium,fungi
F_Pithomyces,fungi
F_Pileolaria,fungi
F_Pichia,fungi
F_Physconia,fungi
F_Physcia,fungi
F_Phyllopsora,fungi
F_Phycomyces,fungi
F_Phruensis,fungi
F_Phragmotaenium,fungi
F_Phomopsis,fungi
F_Phoma,fungi
F_Phlyctochytrium,fungi
F_Phlyctis,fungi
F_Phlebia,fungi
F_Phialocephala,fungi
F_Phellopilus,fungi
F_Phellinus,fungi
F_Phellinidium,fungi
F_Phaffomyces,fungi
F_Phaeosphaeria,fungi
F_Phaeopyxis,fungi
F_Phaeoacremonium,fungi
F_Pezicula,fungi
F_Petractis,fungi
F_Pestalotiopsis,fungi
F_Periconia,fungi
F_Perenniporia,fungi
F_Penicillium,fungi
F_Peltula,fungi
F_Passalora,fungi
F_Parmotrema,fungi
F_Parmelia,fungi
F_Parathielavia,fungi
F_Parastagonospora,fungi
F_Paraphaeosphaeria,fungi
F_Paraglomus,fungi
F_Parafuscosporella,fungi
F_Paracoccidioides,fungi
F_Orphella,fungi
F_Orbilia,fungi
F_Ophiocordyceps,fungi
F_Ogataea,fungi
F_Ochrolechia,fungi
F_Ochroconis,fungi
F_Ocellularia,fungi
F_Oberwinklerozyma,fungi
F_Nosema,fungi
F_Neurospora,fungi
F_Nephroma,fungi
F_Neozygites,fungi
F_Neoroussoella,fungi
F_Neogloea,fungi
F_Naumovozyma,fungi
F_Nakaseomyces,fungi
F_Myriostoma,fungi
F_Myriolecis,fungi
F_Myelochroa,fungi
F_Mycotypha,fungi
F_Mycosphaerella,fungi
F_Mucor,fungi
F_Mucomycosphaerella,fungi
F_Mortierella,fungi
F_Monodictys,fungi
F_Monascus,fungi
F_Mitosporidium,fungi
F_Millerozyma,fungi
F_Microsporidium,fungi
F_Microsphaeropsis,fungi
F_Microporus,fungi
F_Microcyclospora,fungi
F_Microcalicium,fungi
F_Microallomyces,fungi
F_Meyerozyma,fungi
F_Metschnikowia,fungi
F_Metarhizium,fungi
F_Melanotaenium,fungi
F_Melanopsichium,fungi
F_Melanoleuca,fungi
F_Meira,fungi
F_Medeolaria,fungi
F_Massarina,fungi
F_Massaria,fungi
F_Marthamyces,fungi
F_Marssonina,fungi
F_Marasmius,fungi
F_Malassezia,fungi
F_Magnusiomyces,fungi
F_Macrohyporia,fungi
F_Lyophyllum,fungi
F_Luteoporia,fungi
F_Loxosporopsis,fungi
F_Loxospora,fungi
F_Lopharia,fungi
F_Lopezaria,fungi
F_Lodderomyces,fungi
F_Lobosporangium,fungi
F_Llimoniella,fungi
F_Lipomyces,fungi
F_Linocarpon,fungi
F_Lichtheimia,fungi
F_Lichenothelia,fungi
F_Leucosporidium,fungi
F_Leucopaxillus,fungi
F_Leucogyrophana,fungi
F_Leucocortinarius,fungi
F_Leptosphaeria,fungi
F_Leptogium,fungi
F_Lecanora,fungi
F_Lasallia,fungi
F_Lachnellula,fungi
F_Lachnella,fungi
F_Laccaria,fungi
F_Kwoniella,fungi
F_Kuzuhaea,fungi
F_Kurtia,fungi
F_Kuraishia,fungi
F_Kriegeria,fungi
F_Kregervanrija,fungi
F_Kondoa,fungi
F_Komagataella,fungi
F_Kodamaea,fungi
F_Kluyveromyces,fungi
F_Kirschsteiniothelia,fungi
F_Kazachstania,fungi
F_Kalmusia,fungi
F_Kalmanozyma,fungi
F_Kallichroma,fungi
F_Ionomidotis,fungi
F_Inocybe,fungi
F_Infundibura,fungi
F_Hypsizygus,fungi
F_Hypoxylon,fungi
F_Hypogymnia,fungi
F_Hypocrella,fungi
F_Hypochniciellum,fungi
F_Hyphopichia,fungi
F_Hygrocybe,fungi
F_Hydnochaete,fungi
F_Hyaloscypha,fungi
F_Hyalorbilia,fungi
F_Hyaloraphidium,fungi
F_Hornodermoporus,fungi
F_Histoplasma,fungi
F_Hirsutella,fungi
F_Heteroplacidium,fungi
F_Heterogastridium,fungi
F_Heterobasidion,fungi
F_Hesperomyces,fungi
F_Herpothallon,fungi
F_Heliocephala,fungi
F_Hanseniaspora,fungi
F_Hamiltosporidium,fungi
F_Halteromyces,fungi
F_Gyrographa,fungi
F_Gymnosporangium,fungi
F_Gymnoascus,fungi
F_Gyalecta,fungi
F_Guyanagaster,fungi
F_Grosmannia,fungi
F_Groenewaldozyma,fungi
F_Graphium,fungi
F_Graphis,fungi
F_Gonapodya,fungi
F_Gomphillus,fungi
F_Glomus,fungi
F_Gloiothele,fungi
F_Gloeandromyces,fungi
F_Gigaspora,fungi
F_Geranomyces,fungi
F_Geomyces,fungi
F_Geastrum,fungi
F_Ganoderma,fungi
F_Fuscidea,fungi
F_Fusarium,fungi
F_Furia,fungi
F_Funneliglomus,fungi
F_Funneliformis,fungi
F_Fonsecaea,fungi
F_Flammulina,fungi
F_Fibulobasidium,fungi
F_Fibroporia,fungi
F_Exserohilum,fungi
F_Exophiala,fungi
F_Exobasidium,fungi
F_Evernia,fungi
F_Eutypa,fungi
F_Esteya,fungi
F_Eremothecium,fungi
F_Epicoccum,fungi
F_Entoloma,fungi
F_Endocarpon,fungi
F_Encephalitozoon,fungi
F_Emmonsia,fungi
F_Elsinoe,fungi
F_Eleutherascus,fungi
F_Elaphomyces,fungi
F_Echinusitheca,fungi
F_Drechslera,fungi
F_Diutina,fungi
F_Discostroma,fungi
F_Dipsacomyces,fungi
F_Diploospora,fungi
F_Diplodia,fungi
F_Didymella,fungi
F_Dentipellis,fungi
F_Dematiopleospora,fungi
F_Debaryomyces,fungi
F_Daedalea,fungi
F_Dactylina,fungi
F_Dactylaria,fungi
F_Dacrymyces,fungi
F_Cystofilobasidium,fungi
F_Cystobasidium,fungi
F_Cyptotrama,fungi
F_Cyphellophora,fungi
F_Cyberlindnera,fungi
F_Cyathus,fungi
F_Cryptocoryneum,fungi
F_Cryptococcus,fungi
F_Cryomyces,fungi
F_Craterellus,fungi
F_Cortinarius,fungi
F_Coronophora,fungi
F_Corollospora,fungi
F_Cornuvesica,fungi
F_Cordyceps,fungi
F_Coprinopsis,fungi
F_Coprinellus,fungi
F_Coniosporium,fungi
F_Coniochaeta,fungi
