source,target,cor,P/N
F_Parastagonospora,B_Candidatus Planktophila,0.41706888,P
F_Lichtheimia,B_Candidatus Planktophila,0.336688963,N
B_Rheinheimera,B_Pseudoxanthomonas,0.362804272,P
B_Polynucleobacter,B_Pseudoxanthomonas,0.358586291,P
B_Thermosporothrix,B_Pseudoxanthomonas,0.335810471,P
B_Dickeya,B_Microbacterium,0.352958636,P
B_Methylosinus,B_Microbacterium,0.354581437,P
F_Discostroma,B_Microbacterium,0.325887707,P
F_Kriegeria,B_Microbacterium,0.358922713,P
F_Ustilago,B_Microbacterium,0.337460223,P
F_Abrothallus,B_Bradyrhizobium,0.343838754,P
F_Microsphaeropsis,B_Bradyrhizobium,0.375548463,P
F_Ustilago,B_Bradyrhizobium,0.347299358,P
B_Microvirga,B_Cellvibrio,0.335861838,P
B_Nesterenkonia,B_Cellvibrio,0.337380667,P
F_Psoroglaena,B_Cellvibrio,0.378219058,P
F_Spathaspora,B_Cellvibrio,0.325012464,P
F_Wickerhamomyces,B_Cellvibrio,0.326080131,P
B_Oligotropha,B_Afipia,0.333610081,P
B_Nitrobacter,B_Afipia,0.35478299,P
B_Rhodanobacter,B_Afipia,0.352908476,P
F_Pyrenophora,B_Mycobacterium,0.340264393,P
F_Platythecium,B_Mycobacterium,0.389218947,P
F_Podospora,B_Mycobacterium,0.376927702,P
F_Kriegeria,B_Salmonella,0.331440133,P
F_Mortierella,B_Salmonella,0.347536202,N
B_Rothia,B_Neisseria,0.333687784,P
B_Fusobacterium,B_Neisseria,0.357035677,P
B_Prevotella,B_Neisseria,0.320208261,P
B_Capnocytophaga,B_Neisseria,0.429637383,P
B_Lautropia,B_Neisseria,0.384423468,P
B_Veillonella,B_Neisseria,0.361545257,P
B_Lachnoanaerobaculum,B_Neisseria,0.351983201,P
B_Saccharospirillum,B_Neisseria,0.382603653,N
B_Ottowia,B_Neisseria,0.341370594,P
B_Gardnerella,B_Neisseria,0.369259355,P
B_Eikenella,B_Neisseria,0.35922852,P
F_Kriegeria,B_Neisseria,0.332255083,P
B_Auricoccus,B_Janibacter,0.321461696,P
B_Paraburkholderia,B_Janibacter,0.338639974,P
B_Candidatus Saccharimonas,B_Janibacter,0.32917584,P
B_Rathayibacter,B_Janibacter,0.35014607,P
B_Erysipelothrix,B_Janibacter,0.344445758,P
F_Kriegeria,B_Janibacter,0.350038342,P
B_Fusobacterium,B_Dietzia,0.319770419,P
B_Nocardioides,B_Dietzia,0.325864365,P
B_Aquabacterium,B_Dietzia,0.357534559,P
B_Tsukamurella,B_Dietzia,0.358318416,P
B_Olsenella,B_Dietzia,0.359731915,P
B_Thermomonas,B_Dietzia,0.347229557,P
B_Roseburia,B_Clostridium,0.333402188,P
B_Anaerostipes,B_Clostridium,0.365357264,P
B_Coprococcus,B_Clostridium,0.3338353,P
B_Megamonas,B_Clostridium,0.324847613,P
B_Flintibacter,B_Clostridium,0.338351334,P
B_Anaerotignum,B_Clostridium,0.348776394,P
B_Romboutsia,B_Clostridium,0.348393418,P
B_Kytococcus,B_Rothia,0.324912425,P
B_Capnocytophaga,B_Rothia,0.341583455,P
B_Porphyromonas,B_Rothia,0.368660245,P
B_Pseudopropionibacterium,B_Rothia,0.395322731,P
F_Saccharomyces,B_Brachybacterium,0.32755139,N
F_Kriegeria,B_Brachybacterium,0.345197194,P
B_Rheinheimera,B_Kytococcus,0.47291496,P
B_Modestobacter,B_Kytococcus,0.365923417,P
F_Hyaloraphidium,B_Comamonas,0.350087796,P
B_Capnocytophaga,B_Fusobacterium,0.384494293,P
B_Lachnoanaerobaculum,B_Fusobacterium,0.407815945,P
B_Schaalia,B_Fusobacterium,0.404088272,P
B_Phenylobacterium,B_Fusobacterium,0.386302207,P
B_Dolosigranulum,B_Fusobacterium,0.335711446,P
B_Polynucleobacter,B_Fusobacterium,0.370276197,P
F_Blackwellomyces,B_Fusobacterium,0.350632699,N
F_Rhizophagus,B_Fusobacterium,0.341824075,N
B_Auricoccus,B_Anaerococcus,0.331597272,P
B_Delftia,B_Anaerococcus,0.469987629,P
F_Kriegeria,B_Anaerococcus,0.392796346,P
F_Bannozyma,B_Anaerococcus,0.319980257,N
B_Novosphingobium,B_Propionibacterium,0.331298303,P
B_Finegoldia,B_Propionibacterium,0.384467988,P
B_Altererythrobacter,B_Propionibacterium,0.357391979,P
B_Magnetospirillum,B_Propionibacterium,0.357126406,P
F_Sugiyamaella,B_Propionibacterium,0.32612939,P
F_Kriegeria,B_Propionibacterium,0.350627731,P
F_Pacispora,B_Propionibacterium,0.329685464,N
B_Gordonia,B_Rheinheimera,0.349010902,P
B_Halomonas,B_Rheinheimera,0.365813211,P
B_Aquabacterium,B_Rheinheimera,0.373676631,P
B_Glutamicibacter,B_Rheinheimera,0.338299645,P
B_Thermomonas,B_Rheinheimera,0.33610668,P
F_Acanthothecis,B_Rheinheimera,0.332913863,P
F_Hyphopichia,B_Azospirillum,0.320963059,P
B_Thioclava,B_Pseudonocardia,0.328855423,P
B_Alistipes,B_Pseudonocardia,0.353098968,P
B_Lachnoclostridium,B_Pseudonocardia,0.320002305,P
F_Zygoascus,B_Pseudonocardia,0.327052276,P
F_Psoroglaena,B_Nonlabens,0.386173179,P
F_Hyphopichia,B_Nonlabens,0.328540004,N
F_Kuraishia,B_Nonlabens,0.35965682,P
B_Kitasatospora,B_Paenibacillus,0.323641163,P
B_Negativicoccus,B_Paenibacillus,0.353164698,P
F_Pacispora,B_Paenibacillus,0.391445879,P
B_Anaerotignum,B_Flavobacterium,0.32369751,P
B_Romboutsia,B_Flavobacterium,0.325176056,P
F_Ascitendus,B_Helicobacter,0.344339181,P
F_Pluteus,B_Helicobacter,0.366543248,P
F_Mortierella,B_Helicobacter,0.324664319,N
F_Asellaria,B_Helicobacter,0.328799396,P
B_Capnocytophaga,B_Prevotella,0.330337972,P
B_Lachnoanaerobaculum,B_Prevotella,0.33970471,P
B_Nocardia,B_Prevotella,0.353084981,P
B_Ruminococcus,B_Prevotella,0.389394344,P
B_Ruthenibacterium,B_Prevotella,0.328021929,P
F_Bipolaris,B_Klebsiella,0.328658895,P
F_Kriegeria,B_Klebsiella,0.339446403,P
B_Gordonia,B_Capnocytophaga,0.327449553,P
B_Lautropia,B_Capnocytophaga,0.320397469,P
B_Lachnoanaerobaculum,B_Capnocytophaga,0.369945992,P
B_Ottowia,B_Capnocytophaga,0.391061765,P
B_Olsenella,B_Capnocytophaga,0.434763147,P
B_Eikenella,B_Capnocytophaga,0.342481816,P
B_Dolosigranulum,B_Acidovorax,0.347885971,P
B_Altererythrobacter,B_Gordonia,0.359013075,P
B_Thermosporothrix,B_Gordonia,0.366538868,P
B_Gramella,B_Gordonia,0.365245041,P
F_Knoxdaviesia,B_Gordonia,0.324340799,P
F_Kriegeria,B_Gordonia,0.324847314,P
F_Barnettozyma,B_Georgenia,0.347782234,P
F_Hygrocybe,B_Georgenia,0.391218717,P
F_Psathyrella,B_Georgenia,0.32931547,P
B_Faecalibacterium,B_Halomonas,0.345500276,P
B_Roseburia,B_Halomonas,0.411003128,P
B_Megamonas,B_Halomonas,0.358108465,P
B_Anaerotignum,B_Halomonas,0.389367011,P
B_Romboutsia,B_Halomonas,0.389757055,P
B_Auricoccus,B_Gemella,0.360842983,P
B_Phenylobacterium,B_Gemella,0.336605925,P
B_Porphyromonas,B_Gemella,0.349984619,P
B_Olsenella,B_Gemella,0.411523177,P
F_Kriegeria,B_Gemella,0.332263265,P
B_Arsenophonus,B_Psychrobacter,0.360946869,P
B_Paraburkholderia,B_Stenotrophomonas,0.405145179,P
F_Porpomyces,B_Stenotrophomonas,0.328243128,P
B_Veillonella,B_Lautropia,0.322349191,P
B_Novosphingobium,B_Lautropia,0.343772757,P
B_Arsenicicoccus,B_Lautropia,0.319726091,P
B_Tsukamurella,B_Lautropia,0.32373342,P
F_Coelomomyces,B_Lautropia,0.335531853,P
B_Oerskovia,B_Shewanella,0.340822079,P
F_Schizothyrium,B_Shewanella,0.329151522,P
F_Diploospora,B_Shewanella,0.330418812,P
F_Microsphaeropsis,B_Bdellovibrio,0.321769496,P
B_Synechococcus,B_Pantoea,0.338839136,P
B_Novosphingobium,B_Nocardioides,0.336214738,P
B_Schaalia,B_Veillonella,0.426753728,P
B_Dolosigranulum,B_Veillonella,0.34050645,P
B_Olsenella,B_Veillonella,0.324592023,P
B_Thermomonas,B_Veillonella,0.337269152,P
F_Schizothyrium,B_Veillonella,0.323749702,P
B_Thioclava,B_Auricoccus,0.321860795,P
B_Luteimonas,B_Auricoccus,0.346743946,P
B_Thermomonas,B_Auricoccus,0.321692839,P
F_Kriegeria,B_Auricoccus,0.366934404,P
F_Coelomomyces,B_Auricoccus,0.383849235,P
F_Favolus,B_Enterobacter,0.368052136,P
F_Pluteus,B_Serratia,0.359456004,P
F_Lichtheimia,B_Serratia,0.334630221,P
B_Saccharopolyspora,B_Frankia,0.465773724,P
B_Kitasatospora,B_Frankia,0.371489093,P
B_Dickeya,B_Frankia,0.329829103,P
B_Oerskovia,B_Frankia,0.35430426,P
F_Dematiopleospora,B_Frankia,0.345831524,P
F_Microsphaeropsis,B_Frankia,0.415658889,P
F_Lopezaria,B_Frankia,0.322976568,P
F_Meliola,B_Frankia,0.405174297,P
F_Symbiotaphrina,B_Frankia,0.336639739,P
F_Ustilago,B_Frankia,0.356899727,P
B_Novosphingobium,B_Aeribacillus,0.357063811,P
B_Phenylobacterium,B_Aeribacillus,0.321474354,P
B_Buchnera,B_Aeribacillus,0.323606829,P
B_Haematobacter,B_Aeribacillus,0.323991245,P
B_Liberibacter,B_Enterococcus,0.3249049,P
F_Microsphaeropsis,B_Enterococcus,0.337242693,P
F_Ascodesmis,B_Enterococcus,0.370989462,P
B_Herbaspirillum,B_Liberibacter,0.370172851,P
F_Capronia,B_Liberibacter,0.348644279,P
F_Saitozyma,B_Liberibacter,0.331749491,P
B_Peptoniphilus,B_Sphingopyxis,0.342753511,P
F_Scopuloides,B_Sphingopyxis,0.331209031,P
F_Phragmotaenium,B_Sphingopyxis,0.368079922,N
F_Mortierella,B_Sphingopyxis,0.321012099,N
B_Spirochaeta,B_Calothrix,0.372081465,P
F_Ambrosiella,B_Calothrix,0.337059848,P
F_Coelomomyces,B_Calothrix,0.324540401,P
F_Anthracocystis,B_Rhizobium,0.335734929,P
B_Bacteroides,B_Riemerella,0.3452977,P
B_Ottowia,B_Riemerella,0.349042487,P
B_Olsenella,B_Riemerella,0.331579461,P
B_Runella,B_Riemerella,0.378442967,P
B_Magnetospirillum,B_Riemerella,0.364260547,P
B_Labilithrix,B_Riemerella,0.340191366,P
F_Teratosphaeria,B_Riemerella,0.370202624,P
F_Diploospora,B_Riemerella,0.390106389,P
F_Bacidia,B_Riemerella,0.351724025,P
F_Nephroma,B_Riemerella,0.344000727,P
